id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
KZ,FeatureCollection,Kazakhstan,46.47827884900002,40.58465566000008,87.3237960210001,55.434550273000085,3745,Point,71.36667,42.9,Feature,41121-023,224103984.41,MFF-CAREC TRANSPORT CORRIDOR I INVESTMENT PROGRAM-PROJECT 1,2013-12-31,The Project will reconstruct 125 km of highway sections between Taraz and Korday in Zhambyl Oblast; and improve road operation and maintenance system,340000000.0,2009-03-30,Taraz,Completion,Transport,
KZ,FeatureCollection,Kazakhstan,46.47827884900002,40.58465566000008,87.3237960210001,55.434550273000085,3746,Point,72.5,43.0,Feature,41121-023,224103984.41,MFF-CAREC TRANSPORT CORRIDOR I INVESTMENT PROGRAM-PROJECT 1,2013-12-31,The Project will reconstruct 125 km of highway sections between Taraz and Korday in Zhambyl Oblast; and improve road operation and maintenance system,340000000.0,2009-03-30,Lugovoe Audany,Completion,Transport,
KZ,FeatureCollection,Kazakhstan,46.47827884900002,40.58465566000008,87.3237960210001,55.434550273000085,3747,Point,72.72066,42.9101,Feature,41121-023,224103984.41,MFF-CAREC TRANSPORT CORRIDOR I INVESTMENT PROGRAM-PROJECT 1,2013-12-31,The Project will reconstruct 125 km of highway sections between Taraz and Korday in Zhambyl Oblast; and improve road operation and maintenance system,340000000.0,2009-03-30,Kulan,Completion,Transport,
KZ,FeatureCollection,Kazakhstan,46.47827884900002,40.58465566000008,87.3237960210001,55.434550273000085,3748,Point,74.71287,43.03882,Feature,41121-023,224103984.41,MFF-CAREC TRANSPORT CORRIDOR I INVESTMENT PROGRAM-PROJECT 1,2013-12-31,The Project will reconstruct 125 km of highway sections between Taraz and Korday in Zhambyl Oblast; and improve road operation and maintenance system,340000000.0,2009-03-30,Georgiyevka,Completion,Transport,
KZ,FeatureCollection,Kazakhstan,46.47827884900002,40.58465566000008,87.3237960210001,55.434550273000085,3749,Point,74.19221,43.29569,Feature,41121-023,224103984.41,MFF-CAREC TRANSPORT CORRIDOR I INVESTMENT PROGRAM-PROJECT 1,2013-12-31,The Project will reconstruct 125 km of highway sections between Taraz and Korday in Zhambyl Oblast; and improve road operation and maintenance system,340000000.0,2009-03-30,Blagoveshchenka,Completion,Transport,
KZ,FeatureCollection,Kazakhstan,46.47827884900002,40.58465566000008,87.3237960210001,55.434550273000085,3750,Point,71.66734,43.43393,Feature,41121-023,224103984.41,MFF-CAREC TRANSPORT CORRIDOR I INVESTMENT PROGRAM-PROJECT 1,2013-12-31,The Project will reconstruct 125 km of highway sections between Taraz and Korday in Zhambyl Oblast; and improve road operation and maintenance system,340000000.0,2009-03-30,Bayzak District,Completion,Transport,
KZ,FeatureCollection,Kazakhstan,46.47827884900002,40.58465566000008,87.3237960210001,55.434550273000085,3751,Point,74.71802,43.03878,Feature,41121-023,224103984.41,MFF-CAREC TRANSPORT CORRIDOR I INVESTMENT PROGRAM-PROJECT 1,2013-12-31,The Project will reconstruct 125 km of highway sections between Taraz and Korday in Zhambyl Oblast; and improve road operation and maintenance system,340000000.0,2009-03-30,Korday,Completion,Transport,
KZ,FeatureCollection,Kazakhstan,46.47827884900002,40.58465566000008,87.3237960210001,55.434550273000085,3752,Point,71.36667,42.9,Feature,41121-033,182892488.46000004,MFF-CAREC TRANSPORT CORR I (ZOS)  WE-WPRC ITC  INV PROG-PROJ 2,2015-06-30,"The Project will reconstruct 79 km of highway sections km 310.5 - 389.4, and construct road maintenance facilities in 4 sites along the corridor",187000000.0,2009-12-03,Taraz,Implementation,Transport,
KZ,FeatureCollection,Kazakhstan,46.47827884900002,40.58465566000008,87.3237960210001,55.434550273000085,3753,Point,72.5,43.0,Feature,41121-033,182892488.46000004,MFF-CAREC TRANSPORT CORR I (ZOS)  WE-WPRC ITC  INV PROG-PROJ 2,2015-06-30,"The Project will reconstruct 79 km of highway sections km 310.5 - 389.4, and construct road maintenance facilities in 4 sites along the corridor",187000000.0,2009-12-03,Lugovoe Audany,Implementation,Transport,
KZ,FeatureCollection,Kazakhstan,46.47827884900002,40.58465566000008,87.3237960210001,55.434550273000085,3754,Point,72.72066,42.9101,Feature,41121-033,182892488.46000004,MFF-CAREC TRANSPORT CORR I (ZOS)  WE-WPRC ITC  INV PROG-PROJ 2,2015-06-30,"The Project will reconstruct 79 km of highway sections km 310.5 - 389.4, and construct road maintenance facilities in 4 sites along the corridor",187000000.0,2009-12-03,Kulan,Implementation,Transport,
KZ,FeatureCollection,Kazakhstan,46.47827884900002,40.58465566000008,87.3237960210001,55.434550273000085,3755,Point,74.71287,43.03882,Feature,41121-033,182892488.46000004,MFF-CAREC TRANSPORT CORR I (ZOS)  WE-WPRC ITC  INV PROG-PROJ 2,2015-06-30,"The Project will reconstruct 79 km of highway sections km 310.5 - 389.4, and construct road maintenance facilities in 4 sites along the corridor",187000000.0,2009-12-03,Georgiyevka,Implementation,Transport,
