id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,3970,Point,178.46667,-17.8,Feature,28261-023,26036962.020000003,THIRD ROAD UPGRADING(SECTOR) PROJECT (SUPPLEMENTARY),2013-12-31,"The original Project was aimed at helping the Government to (i)  improve the efficiency of road sector services and increase private sector participation, and (ii) improve the management of road…",26800000.0,2010-03-19,Waito,Completion,Transport,Information and communication technology
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,3971,Point,178.4,-17.76667,Feature,28261-023,26036962.020000003,THIRD ROAD UPGRADING(SECTOR) PROJECT (SUPPLEMENTARY),2013-12-31,"The original Project was aimed at helping the Government to (i)  improve the efficiency of road sector services and increase private sector participation, and (ii) improve the management of road…",26800000.0,2010-03-19,Wailotua,Completion,Transport,Information and communication technology
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,3972,Point,178.35,-17.95,Feature,28261-023,26036962.020000003,THIRD ROAD UPGRADING(SECTOR) PROJECT (SUPPLEMENTARY),2013-12-31,"The original Project was aimed at helping the Government to (i)  improve the efficiency of road sector services and increase private sector participation, and (ii) improve the management of road…",26800000.0,2010-03-19,Vanuakula,Completion,Transport,Information and communication technology
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,3973,Point,179.41667,-16.66667,Feature,28261-023,26036962.020000003,THIRD ROAD UPGRADING(SECTOR) PROJECT (SUPPLEMENTARY),2013-12-31,"The original Project was aimed at helping the Government to (i)  improve the efficiency of road sector services and increase private sector participation, and (ii) improve the management of road…",26800000.0,2010-03-19,Thakaundrove Province,Completion,Transport,Information and communication technology
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,3974,Point,178.5,-17.83333,Feature,28261-023,26036962.020000003,THIRD ROAD UPGRADING(SECTOR) PROJECT (SUPPLEMENTARY),2013-12-31,"The original Project was aimed at helping the Government to (i)  improve the efficiency of road sector services and increase private sector participation, and (ii) improve the management of road…",26800000.0,2010-03-19,Tailevu Province,Completion,Transport,Information and communication technology
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,3975,Point,178.33333,-18.08333,Feature,28261-023,26036962.020000003,THIRD ROAD UPGRADING(SECTOR) PROJECT (SUPPLEMENTARY),2013-12-31,"The original Project was aimed at helping the Government to (i)  improve the efficiency of road sector services and increase private sector participation, and (ii) improve the management of road…",26800000.0,2010-03-19,Rewa Province,Completion,Transport,Information and communication technology
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,3976,Point,178.16667,-17.5,Feature,28261-023,26036962.020000003,THIRD ROAD UPGRADING(SECTOR) PROJECT (SUPPLEMENTARY),2013-12-31,"The original Project was aimed at helping the Government to (i)  improve the efficiency of road sector services and increase private sector participation, and (ii) improve the management of road…",26800000.0,2010-03-19,Ra Province,Completion,Transport,Information and communication technology
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,3977,Point,177.66667,-17.66667,Feature,28261-023,26036962.020000003,THIRD ROAD UPGRADING(SECTOR) PROJECT (SUPPLEMENTARY),2013-12-31,"The original Project was aimed at helping the Government to (i)  improve the efficiency of road sector services and increase private sector participation, and (ii) improve the management of road…",26800000.0,2010-03-19,Mba Province,Completion,Transport,Information and communication technology
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,3978,Point,178.21667,-17.65,Feature,28261-023,26036962.020000003,THIRD ROAD UPGRADING(SECTOR) PROJECT (SUPPLEMENTARY),2013-12-31,"The original Project was aimed at helping the Government to (i)  improve the efficiency of road sector services and increase private sector participation, and (ii) improve the management of road…",26800000.0,2010-03-19,Korovou,Completion,Transport,Information and communication technology
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,3979,Point,180.01667,-16.8,Feature,28261-023,26036962.020000003,THIRD ROAD UPGRADING(SECTOR) PROJECT (SUPPLEMENTARY),2013-12-31,"The original Project was aimed at helping the Government to (i)  improve the efficiency of road sector services and increase private sector participation, and (ii) improve the management of road…",26800000.0,2010-03-19,Waiyevo,Completion,Transport,Information and communication technology
